"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"184407","AT 2025rpv","20:56:47.854","-23:15:41.00","AGN","0.076","","","ZTF","ZTF","SCAT","ZTF","ZTF25aavxfcj","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.7168","r-ZTF","2025-06-19 09:58:08.002","Fritz","","","2025TNSTR2790....1W","2025TNSCR2817....1K","",""
"182793","AT 2025pix","16:25:26.519","+57:27:29.62","AGN","0.068","SDSS J162526.54+572727.8","","ALeRCE","ZTF","SCAT","ZTF","ZTF25aaydrer","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.9549","g-ZTF","2025-06-28 06:51:27.996","ALeRCE","","","2025TNSTR2484....1F","2025TNSCR2621....1K","",""
"173740","AT 2025dda","07:27:57.910","-04:24:11.40","AGN","0.427","","","XOSS","XOSS","FLEET","XOSS","KATS25E002","Other - Other","Magellan-Clay - LDSS-3","1","1","","19.11","Clear-","2025-03-02 15:04:31.296","Mi Zhang","","","2025TNSTR.861....1X","2025TNSCR2040....1G","",""
"170710","AT 2025qw","06:52:01.447","+27:07:23.00","AGN","0.037","","","GOTO, ZTF","GOTO, ZTF","ePESSTO+","GOTO, ZTF","GOTO25ji","GOTO-N - GOTO-1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.69","L-GOTO","2025-01-15 20:46:55.488","GOTO_bot","","","2025TNSTR.233....1K","2025TNSCR.320....1W","",""
"170216","AT 2025az","05:01:05.561","-24:25:04.13","AGN","0.328","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS, Pan-STARRS","ATLAS25adr","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","20.225","cyan-ATLAS","2025-01-03 20:55:45.120","ATLAS_Bot1","","","2025TNSTR..44....1T","2025TNSCR.129....1R","",""
"170057","AT 2024aghq","10:03:26.786","+33:47:29.29","AGN","0.3505","","","ZTF, GOTO","ZTF, GOTO","FLEET","GOTO, ZTF","ZTF24abwywkf","GOTO-N - GOTO-2, P48 - ZTF-Cam","MMT - BINOSPEC","1","1","","20.5232","g-ZTF","2024-11-23 10:59:51.996","Fritz","","","2025TNSTR...6....1M","2025TNSCR.960....1G","",""
"168651","AT 2024aelk","12:29:14.688","+25:41:18.81","AGN","0.12","","","Pan-STARRS, ZTF, ATLAS","Pan-STARRS, ZTF, ATLAS","ePESSTO+","ATLAS, Pan-STARRS, ZTF","PS24muv","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.43","i-P1","2024-12-18 14:53:25.152","PS1_Bot1","","","2024TNSTR5001....1C","2025TNSCR1303....1G","",""
"165426","AT 2024ztp","08:03:27.401","+08:41:52.31","AGN","0.04674","","","GOTO","GOTO","GOTO","GOTO","GOTO24huz","GOTO-N - GOTO-1","LT - SPRAT","1","1","","18.48","L-GOTO","2024-09-14 05:30:45.216","GOTO_bot","","","2024TNSTR4217....1K","2024TNSCR4357....1O","",""
"165183","AT 2024zkr","01:54:22.960","-05:59:50.60","AGN","0.078","SDSS J015422.95-055950.7","","ALeRCE, GOTO, GaiaAlerts, Pan-STARRS","ZTF, GOTO, GaiaAlerts, Pan-STARRS","ePESSTO+","ALeRCE, GaiaAlerts, GOTO, Pan-STARRS","ZTF18abuxiwj","Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.4862","g-ZTF","2024-10-21 07:04:52.000","ALeRCE","","","2024TNSTR4142....1M","2024TNSCR4373....1H","",""
"161597","AT 2024vav","01:51:52.168","-32:52:38.90","AGN","0.195","","","ATLAS","ATLAS","None","ATLAS","ATLAS24obj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.812","cyan-ATLAS","2024-09-05 23:32:02.112","ATLAS_Bot1","","","2024TNSTR3370....1T","2024TNSCR3489....1A","",""
"161557","AT 2024uzl","22:33:17.583","-37:19:10.85","AGN","0.044","","","ATLAS","ATLAS","None","ATLAS","ATLAS24oae","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.699","cyan-ATLAS","2024-09-05 20:48:40.896","ATLAS_Bot1","","","2024TNSTR3370....1T","2024TNSCR3489....1A","",""
"159678","AT 2024sgk","16:43:33.002","+50:58:54.92","AGN","0.136","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS24nbj","ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","19.041","orange-ATLAS","2024-08-15 07:18:02.016","ATLAS_Bot1","","","2024TNSTR2949....1T","2024TNSCR3060....1D","",""
"159233","AT 2024rqe","13:25:04.300","+70:51:59.65","AGN","0.065","","","GOTO, GaiaAlerts","GOTO, GaiaAlerts","None, GOTO","GaiaAlerts, GOTO","GOTO24epn","Gaia - Gaia-photometric, GOTO-N - GOTO-2","LT - SPRAT, MMT - BINOSPEC","1","1","","19.55","L-GOTO","2024-07-09 22:28:08.544","GOTO_bot","","","2024TNSTR2815....1K","2024TNSCR4932....1G, 2025TNSCR.378....1P","",""
"152243","AT 2024jxi","19:21:06.014","-22:42:40.29","AGN","0.074","","","ZTF, BlackGEM","ZTF, BlackGEM","ePESSTO+","BlackGEM, ZTF","ZTF24aapsitb","BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.2311","g-ZTF","2024-05-19 10:01:51.000","Fritz","","","2024TNSTR1734....1S","2024TNSCR1781....1M","",""
"150860","AT 2024hxu","11:28:34.130","-24:00:56.52","AGN","0.225","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","FLEET","GaiaAlerts, ZTF","ZTF24aalnrat","Gaia - Gaia-photometric, P48 - ZTF-Cam","Magellan-Baade - IMACS","1","1","","20.4954","r-ZTF","2024-04-07 06:05:55.000","Fritz","","","2024TNSTR1362....1S","2024TNSCR2605....1G","",""
"149509","AT 2024gbm","12:14:26.646","+08:12:59.71","AGN","0.13","","","ZTF","ZTF","ePESSTO+","ZTF","ZTF24aaiiosm","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.5548","g-ZTF","2024-04-03 07:35:01.000","Fritz","","","2024TNSTR.996....1S","2024TNSCR1124....1B","",""
"148977","AT 2024fje","08:12:12.367","-13:09:21.07","AGN","0.174","","","BlackGEM","BlackGEM","SCAT","BlackGEM","BGEM J081212.36-130921.0","BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam","UH88 - SNIFS","1","1","","18.64","BG-q-BlackGem","2024-04-02 00:37:07.000","BlackGEM_Bot1","","","2024TNSTR.890....1P","2024TNSCR.984....1H","",""
"148230","AT 2024ehz","14:49:35.368","+23:14:18.91","AGN","0.3327","","","ZTF","ZTF","FLEET","ZTF","ZTF24aafaxvf","P48 - ZTF-Cam","MMT - BINOSPEC","1","1","","20.31","g-ZTF","2024-02-11 10:19:12.000","ZTF_Bot1","","","2024TNSTR.720....1F","2025TNSCR.960....1G","",""
"148143","AT 2024eff","05:51:41.890","-19:13:06.24","AGN","0.059","","","GaiaAlerts","GaiaAlerts","ePESSTO+, None","GaiaAlerts","Gaia24axr","Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT, FTS - FLOYDS-S","1","1","","17.03","G-Gaia","2024-03-10 09:25:55.200","Gaia_Bot1","","","2024TNSTR.666....1H","2024TNSCR.699....1C, 2024TNSCR1154....1S","",""
"146596","AT 2024ddi","14:39:34.069","-32:58:02.46","AGN","0.216","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS24ctm","ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.95","orange-ATLAS","2024-02-20 00:14:45.600","ATLAS_Bot1","","","2024TNSTR.507....1T","2024TNSCR1759....1M","",""
"172047","AT 2023aece","15:53:44.143","-14:44:19.73","AGN","0.34","","","Pan-STARRS","Pan-STARRS","ePESSTO+","Pan-STARRS","PS23nwo","PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.19","w-P1","2023-03-24 13:16:26.976","PS1_Bot1","","","2025TNSTR.563....1C","2025TNSCR1637....1C","",""
"141937","AT 2023zyp","13:30:08.349","+36:08:36.55","AGN","0.072691","","","ZTF","ZTF","ZTF","ZTF","ZTF23absjgzg","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.21","g-ZTF","2023-12-09 12:25:55.200","ZTF_Bot1","","","2023TNSTR3230....1F","2024TNSCR.935....1P","",""
"141745","AT 2023zro","00:31:13.129","+47:22:23.79","AGN","0.39","","","ANTARES, ATLAS","ZTF, ATLAS","None","ANTARES, ATLAS","ZTF23abbzfyu","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","MMT - BINOSPEC","1","1","","19.569","g-ZTF","2023-12-11 04:43:57.216","ANTARES_bot","","","2023TNSTR3205....1A","2024TNSCR4932....1G","",""
"141456","AT 2023zgo","08:48:54.899","+31:47:00.82","AGN","0.232","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS, ZTF","ZTF23abqkwzr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.32","r-ZTF","2023-11-10 11:08:09.600","ZTF_Bot1","","","2023TNSTR3177....1F","2024TNSCR..97....1I","",""
"141014","AT 2023ypt","02:03:54.020","-09:24:52.74","AGN","0.214","","","GaiaAlerts, ZTF","GaiaAlerts, ZTF","ePESSTO+","GaiaAlerts, ZTF","Gaia23dkx","Gaia - Gaia-photometric, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.48","G-Gaia","2023-11-28 23:06:43.200","Gaia_Bot1","","","2023TNSTR3103....1H","2023TNSCR3168....1M","",""
"139939","AT 2023xbu","03:55:57.939","-16:24:45.56","AGN","0.104","","","ZTF","ZTF","ePESSTO+","ZTF","ZTF22abveoak","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.75","g-ZTF","2023-08-28 10:37:55.200","ZTF_Bot1","","","2023TNSTR2881....1F","2023TNSCR3168....1M","",""
"137927","AT 2023uqm","23:10:39.016","+34:54:11.01","AGN","0.238","","","ATLAS, ZTF","ATLAS, ZTF","ePESSTO+","ATLAS, ZTF","ATLAS23txi","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.292","cyan-ATLAS","2023-10-10 09:07:33.600","ATLAS_Bot1","","","2023TNSTR2541....1T","2023TNSCR2854....1R","",""
"136126","AT 2023sas","21:22:16.000","+00:39:50.65","AGN","0.187","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts, ZTF","ZTF23abbbawg","ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.44","r-ZTF","2023-08-25 06:28:48.000","ZTF_Bot1","","","2023TNSTR2231....1F","2023TNSCR2854....1R","",""
"135117","AT 2023qqp","23:38:57.805","+23:41:54.71","AGN","0.64","","","ANTARES","ZTF","ZTF","ANTARES","ZTF23aaslxmh","P48 - ZTF-Cam","Gemini-N - GMOS","1","1","","20.4295","g-ZTF","2023-08-24 09:41:31.776","ANTARES_bot","","","2023TNSTR2056....1A","2024TNSCR2977....1N","",""
"129053","AT 2023hzb","18:40:32.801","+26:22:49.92","AGN","0.264","","","ZTF","ZTF","FLEET","ZTF","ZTF23aahbtjx","P48 - ZTF-Cam","Magellan-Clay - LDSS-3","1","1","","20.47","r-ZTF","2023-04-17 10:39:21.600","ZTF_Bot1","","","2023TNSTR1069....1F","2023TNSCR1973....1G","",""
"123217","AT 2023qf","03:23:43.049","-15:40:01.24","AGN","0.21","","","YSE","Pan-STARRS","YSE","Pan-STARRS, YSE","PS23eu","PS2 - GPC2","NOT - ALFOSC","1","1","","18.64","g-P1","2023-01-15 06:56:21.696","YSE_Bot1","","","2023TNSTR.107....1J","2023TNSCR.197....1A","",""
"172485","AT 2022aeys","00:24:40.708","-00:30:19.11","AGN","0.043","","","ZTF, LAST","ZTF, LAST","ZTF","LAST, ZTF","ZTF22aaqccka","LAST - LAST-Cam, P48 - ZTF-Cam","Lick-3m - KAST","1","1","","18.8151","r-ZTF","2022-06-28 10:37:49.998","Fritz","","","2025TNSTR.614....1G","2025TNSCR3788....1C","",""
"144060","AT 2022aerd","14:22:20.290","+29:42:54.58","AGN","0.053297","","","ZTF","ZTF","ZTF","ZTF","ZTF22aabwxtw","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.25","g-ZTF","2022-03-01 09:27:21.600","ZTF_Bot1","","","2024TNSTR..57....1F","2024TNSCR1075....1P","",""
"121658","AT 2022acrp","07:37:48.223","+66:22:39.92","AGN","0.036","SDSS J073748.11+662239.0","","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","YSE","ALeRCE, Pan-STARRS","ZTF22abynphp","P48 - ZTF-Cam, PS2 - GPC2","Gemini-S - GMOS-S","1","1","","19.8176","r-ZTF","2022-12-10 08:57:19.002","ALeRCE","","","2022TNSTR3561....1F","2025TNSCR.132....1J","",""
"116516","AT 2022vhb","23:00:36.420","+35:34:59.99","AGN","0.367","","","XOSS, GaiaAlerts","XOSS, GaiaAlerts","SCAT","GaiaAlerts, XOSS","PSP22ad","Gaia - Gaia-photometric, Other - Other","UH88 - SNIFS","1","1","","18","Clear-","2022-09-20 19:42:23.904","Jingyuan Zhao","","","2022TNSTR2727....1X","2022TNSCR3327....1H","",""
"116430","AT 2022vdu","04:02:34.341","+27:51:04.36","AGN","0.117","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS22bfby","ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","19.491","orange-ATLAS","2022-09-18 14:38:19.680","ATLAS_Bot1","","","2022TNSTR2710....1T","2022TNSCR2778....1T","",""
"114873","AT 2022sxl","08:06:22.140","+21:26:27.67","AGN","0.23","SDSS J080622.15+212627.6","","ALeRCE, GaiaAlerts, Pan-STARRS, ATLAS","ZTF, GaiaAlerts, Pan-STARRS, ATLAS","Padova-Asiago","ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS","ZTF22abexepc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Ekar - AFOSC","1","1","","18.9386","r-ZTF","2022-09-02 12:08:43.999","ALeRCE","","","2022TNSTR2550....1M","2022TNSCR3144....1R","",""
"114235","AT 2022rze","12:22:52.160","+76:02:47.26","AGN","0.082","","","GaiaAlerts, ZTF, ATLAS","GaiaAlerts, ZTF, ATLAS","ZTF, None","ATLAS, GaiaAlerts, ZTF","Gaia22dmp","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT, MMT - BINOSPEC","1","1","","18.06","G-Gaia","2022-08-21 19:10:33.600","Gaia_Bot1","","","2022TNSTR2428....1H","2022TNSCR3514....1H, 2024TNSCR4932....1G","",""
"106947","AT 2022hsi","10:49:16.350","-08:46:21.90","AGN","0.14","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts","ATLAS22mgz","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.152","orange-ATLAS","2022-04-17 03:05:07.584","ATLAS_Bot1","","","2022TNSTR.999....1T","2022TNSCR1385....1P","",""
"106184","AT 2022gpp","15:13:20.900","+17:59:16.12","AGN","0.12974","","","GaiaAlerts","GaiaAlerts","SCAT","GaiaAlerts","Gaia22bil","Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","18.56","G-Gaia","2022-03-27 09:37:26.400","Gaia_Bot1","","","2022TNSTR.880....1H","2022TNSCR.945....1H","",""
"101792","AT 2022dsw","11:27:59.286","+35:46:44.79","AGN","0.074","WISEA J112759.27+354644.6","0.075136","ALeRCE","ZTF","Global SN Project","ALeRCE","ZTF22aabuamq","P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.9282","g-ZTF","2022-02-26 10:37:51.001","ALeRCE","","","2022TNSTR.556....1M","2022TNSCR1070....1P","",""
"101682","AT 2022dow","18:42:55.172","+62:41:51.01","AGN","0.0835","","","AMPEL","ZTF","ZTF","AMPEL","ZTF19abmmksy","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.3","r-ZTF","2022-02-27 10:54:27.072","ZTF_AMPEL_COMPLETE","","","2022TNSTR.545....1N","2022TNSCR1201....1P","",""
"101194","AT 2022cwl","09:17:28.979","-02:04:51.62","AGN","0.053","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","StarDestroyers","ATLAS, Pan-STARRS, ZTF","ATLAS22gfj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","FTN - FLOYDS-N","1","1","","18.489","orange-ATLAS","2022-02-20 11:14:32.352","ATLAS_Bot1","","","2022TNSTR.460....1T","2022TNSCR.512....1A","",""
"101022","AT 2022cql","04:47:22.540","+16:36:26.28","AGN","0.154","","","AMPEL, GaiaAlerts","ZTF, GaiaAlerts","SCAT","AMPEL, GaiaAlerts","ZTF19aalfyyn","Gaia - Gaia-photometric, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.51","g-ZTF","2022-02-13 05:09:29.952","ZTF_AMPEL_NEW","","","2022TNSTR.435....1N","2022TNSCR.552....1H","",""
"123914","AT 2021ahuk","08:59:29.738","-25:31:07.69","AGN","0.078","","","ZTF","ZTF","ePESSTO+","ZTF","ZTF21aaltbzp","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.65","r-ZTF","2021-02-19 07:01:55.200","ZTF_Bot1","","","2023TNSTR.194....1F","2023TNSCR.382....1R","",""
"97105","AT 2021afpo","01:00:48.612","+13:06:39.96","AGN","0.2129","WISEA J010048.49+130638.9","","ASAS-SN","ASAS-SN","Padova-Asiago","ASAS-SN","ASASSN-21vf","ASASSN-1 - Brutus","Ekar - AFOSC","1","1","","18","g-Sloan","2021-11-27 08:09:36.000","Krzysztof Stanek","","","2021TNSTR4038....1S","2021TNSCR4118....1T","",""
"96965","AT 2021afkg","09:36:17.490","+09:18:14.69","AGN","0.13","","","GaiaAlerts","GaiaAlerts","UCSC","GaiaAlerts","Gaia21fhb","Gaia - Gaia-photometric","Lick-3m - KAST","1","1","","16.5","G-Gaia","2021-11-23 18:12:57.600","Gaia_Bot1","","","2021TNSTR4023....1H","2021TNSCR4124....1B","",""
"96244","AT 2021aekl","08:03:21.848","-08:47:28.22","AGN","0.05","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS, Pan-STARRS","ATLAS21bmhx","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.951","cyan-ATLAS","2021-11-08 12:44:38.400","ATLAS_Bot1","","","2021TNSTR3894....1T","2021TNSCR4046....1C","",""
"95185","AT 2021acxi","23:41:37.109","-06:28:24.76","AGN","0.105","","","ATLAS","ATLAS","None","ATLAS","ATLAS21blds","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","SOAR - Goodman","1","1","","19.852","cyan-ATLAS","2021-10-31 08:12:28.800","ATLAS_Bot1","","","2021TNSTR3717....1T","2021TNSCR3823....1J","",""
"94783","AT 2021acia","00:51:39.960","-30:24:25.52","AGN","0.296","","","GaiaAlerts","GaiaAlerts","SCAT","GaiaAlerts","Gaia21exd","Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","18.87","G-Gaia","2021-10-26 14:42:43.200","Gaia_Bot1","","","2021TNSTR3669....1H","2021TNSCR3696....1H","",""
"93864","AT 2021abaf","09:32:49.920","+76:19:16.86","AGN","0.358","WISEA J093249.94+761917.2","","ALeRCE, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","None","ALeRCE, ATLAS, GaiaAlerts","ZTF21achafqr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.8147","g-ZTF","2021-10-10 11:36:15.998","ALeRCE","","","2021TNSTR3462....1F","2022TNSCR1277....1N","",""
"92456","AT 2021yzu","21:37:19.943","-10:45:11.97","AGN","0.419","","","ZTF, ATLAS, AMPEL","ZTF, ATLAS","ZTF","AMPEL, ATLAS, ZTF","ZTF21abxowzx","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","Keck1 - LRIS","1","1","","20.64","g-ZTF","2021-08-29 05:35:31.200","ZTF_Bot1","","","2021TNSTR3208....1F","2021TNSCR3495....1C","",""
"92406","AT 2021yxz","21:36:18.973","-14:35:01.36","AGN","0.217","","","AMPEL","ZTF","SCAT","AMPEL","ZTF19aayiili","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.45","r-ZTF","2021-09-13 06:03:56.736","ZTF_AMPEL_COMPLETE","","","2021TNSTR3191....1N","2021TNSCR3200....1H","",""
"91827","AT 2021ybv","20:14:45.104","+06:33:51.27","AGN","0.166","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS21bhya","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","18.894","cyan-ATLAS","2021-09-05 08:19:40.800","ATLAS_Bot1","","","2021TNSTR3059....1T","2021TNSCR3104....1H","",""
"90329","AT 2021vxb","01:13:11.820","+01:35:42.47","AGN","0.24","","","AMPEL, GaiaAlerts","ZTF, GaiaAlerts","None","AMPEL, GaiaAlerts","ZTF20abshfkf","Gaia - Gaia-photometric, P48 - ZTF-Cam","Gemini-S - GMOS-S","1","1","","19.63","g-ZTF","2021-07-15 11:04:31.008","ZTF_AMPEL_COMPLETE","","","2021TNSTR2787....1N","2021TNSCR3666....1J","",""
"90150","AT 2021vqj","15:14:51.874","-09:38:52.54","AGN","0.13","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bexq","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","ESO-NTT - EFOSC2-NTT","1","1","","19.368","cyan-ATLAS","2021-08-02 07:20:38.400","ATLAS_Bot1","","","2021TNSTR2750....1T","2021TNSCR3026....1T","",""
"90001","AT 2021vkq","19:08:32.744","+34:34:00.68","AGN","0.056","WISEA J190832.74+343359.7","","ALeRCE","ZTF","SCAT","ALeRCE","ZTF21abrthxx","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.7851","r-ZTF","2021-08-09 05:57:08.997","ALeRCE","","","2021TNSTR2731....1M","2021TNSCR2758....1J","",""
"88448","AT 2021tdp","23:37:49.922","-22:03:56.96","AGN","0.0496","","","ATLAS, ALeRCE, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","SCAT","ALeRCE, ATLAS, Pan-STARRS","ATLAS21bbkb","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","18.664","orange-ATLAS","2021-07-08 13:36:28.800","ATLAS_Bot1","","","2021TNSTR2413....1T","2021TNSCR2670....1J","",""
"88257","AT 2021swi","00:41:23.200","-15:37:07.43","AGN","0.055","WISEA J004123.19-153707.3","","ALeRCE, GaiaAlerts, AMPEL","ZTF, GaiaAlerts","SCAT","AMPEL, GaiaAlerts, ZTF","ZTF21abkqvdo","Gaia - Gaia-photometric, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.5961","r-ZTF","2021-07-10 10:29:29.000","ALeRCE","","","2021TNSTR2385....1F","2021TNSCR2745....1T","",""
"87462","AT 2021rsz","16:07:09.898","+13:34:18.64","AGN","0.20898","","","ZTF","ZTF","ZTF","ZTF","ZTF21aatlewl","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.84","g-ZTF","2021-03-24 10:39:21.600","ZTF_Bot1","","","2021TNSTR2301....1F","2021TNSCR2920....1C","",""
"84974","AT 2021odd","13:56:36.732","-19:31:44.80","AGN","0.03502","","","AMPEL","ZTF","SCAT","ZTF","ZTF18adbilfq","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.39","g-ZTF","2021-05-27 06:34:49.152","ZTF_AMPEL_COMPLETE","","","2021TNSTR1863....1N","2021TNSCR2049....1P","",""
"84117","AT 2021mwo","20:25:51.800","-27:10:06.20","AGN","0.356","","","GaiaAlerts, AMPEL, Pan-STARRS","GaiaAlerts, ZTF, Pan-STARRS","ePESSTO+","AMPEL, GaiaAlerts, Pan-STARRS","Gaia21clh","Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.77","G-Gaia","2021-04-15 09:01:26.400","Gaia_Bot1","","","2021TNSTR1744....1H","2021TNSCR3416....1B","",""
"83955","AT 2021mrd","03:26:40.280","-31:18:09.58","AGN","0.12","","","GaiaAlerts, ATLAS","GaiaAlerts, ATLAS","ePESSTO+","ATLAS, GaiaAlerts","Gaia21cjt","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.82","G-Gaia","2021-05-16 21:53:16.800","Gaia_Bot1","","","2021TNSTR1685....1H","2021TNSCR3427....1B","",""
"83421","AT 2021lwx","21:13:48.405","+27:25:50.46","AGN","0.995","","","AMPEL, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ePESSTO+","AMPEL, ATLAS, Pan-STARRS, ZTF","ZTF20abrbeie","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.05","r-ZTF","2021-04-13 10:55:51.744","ZTF_AMPEL_COMPLETE","","","2021TNSTR1548....1N","2022TNSCR2743....1G, 2022TNSCR2743....1G","",""
"83193","AT 2021loi","01:00:39.619","+39:42:30.31","AGN","0.083","LAMOST J010039.61+394230.2","","ALeRCE, AMPEL","ZTF","None","AMPEL, ZTF","ZTF20aanxcpf","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","18.838","r-ZTF","2021-05-07 11:41:37.000","ALeRCE","","","2021TNSTR1503....1M","2021TNSCR2018....1G","",""
"81774","AT 2021jmb","11:36:11.447","+74:46:26.29","AGN","0.055785","","","AMPEL","ZTF","Global SN Project","AMPEL, ZTF","ZTF18acwyvak","P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","18.86","r-ZTF","2021-04-13 04:51:40.320","ZTF_AMPEL_COMPLETE","","","2021TNSTR1183....1N","2022TNSCR1275....1N","",""
"80172","AT 2021hdr","21:24:00.341","+34:09:11.49","AGN","0.083","2MASX J21240027+3409114","","ALeRCE","ZTF","ZTF","ZTF","ZTF21aaqqwsa","P48 - ZTF-Cam","LT - SPRAT","1","1","","19.3749","r-ZTF","2021-03-22 12:33:34.001","ALeRCE","","","2021TNSTR.923....1M","2022TNSCR1987....1J","",""
