"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"38048","AT 2019fyt","20:47:51.028","+10:17:35.58","AGN","0.102","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ePESSTO+","Pan-STARRS, ZTF","ZTF19aavndxo","P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.1","g-ZTF","2019-05-25 09:40:39.000","ZTF_AMPEL_NEW","","","2019TNSTR.851....1N","2019TNSCR.963....1S","",""
"35897","AT 2019cvi","17:40:25.677","+51:49:42.38","AGN","0.062","","","ZTF, AMPEL","ZTF","SCAT","AMPEL, ZTF","ZTF18aaqzhib","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.36","g-ZTF","2019-03-25 12:20:17.000","ZTF_AMPEL_COMPLETE","","","2019TNSTR.502....1N","2019TNSCR.509....1P","",""
"35820","AT 2019csk","18:39:34.035","+20:09:44.64","AGN","0.074","","","ZTF","ZTF","SCAT","ZTF","ZTF19aaodsna","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.71","r-ZTF","2019-04-01 11:55:40.000","ZTF_Bot1","","","2019TNSTR.497....1F","2021TNSCR.381....1T","",""
"35795","AT 2019crm","20:38:00.053","-50:23:33.47","AGN","0.063087","2MASX J20375985-5023335","0.063087","ASAS-SN","ASAS-SN","ASAS-SN","ASAS-SN","ASASSN-19ij","ASASSN-2 - Cassius, ASASSN-3 - Paczynski","LCO-duPont - WFCCD","1","1","","17.3","g-Sloan","2019-03-28 08:52:48.000","Krzysztof Stanek","","","2019TNSTR.480....1S","2019TNSCR1026....1H","",""
"35776","AT 2019cqt","19:22:53.902","-18:55:44.26","AGN","0.039","ESO 593- G 012","0.039477","ASAS-SN","ASAS-SN","SCAT","ASAS-SN","ASASSN-19ii","ASASSN-5 - Payne-Gaposchkin","UH88 - SNIFS","1","1","","17.7","g-Sloan","2019-04-02 01:26:24.000","Krzysztof Stanek","","","2019TNSTR.481....1S","2019TNSCR.514....1T","",""
"35274","AT 2019byp","17:57:25.257","+26:50:28.25","AGN","0.045399","","","ZTF, AMPEL","ZTF","Global SN Project","AMPEL, ZTF","ZTF18abrzevn","P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","18.91","r-ZTF","2019-03-15 12:34:52.000","ZTF_AMPEL_NEW","","","2019TNSTR.404....1N","2022TNSCR1275....1N","",""
"34497","AT 2019avd","08:23:36.767","+04:23:02.46","AGN","0.028","","","ZTF, ATLAS","ZTF, ATLAS","None","ATLAS, ZTF","ZTF19aaiqmgl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","FTS - FLOYDS-S","1","1","","17.45","r-ZTF","2019-02-09 05:28:19.000","ZTF_AMPEL_NEW","","","2019TNSTR.236....1N","2020TNSCR1391....1T","",""
"34177","AT 2019aiw","10:38:18.202","+42:44:42.84","AGN","0.305","","","ATLAS, YSE","ATLAS, Pan-STARRS","SCAT","ATLAS, Pan-STARRS, YSE","ATLAS19caq","ATLAS-MLO - ATLAS-01, PS2 - GPC2","UH88 - SNIFS","1","1","","19.134","orange-ATLAS","2019-01-31 12:30:14.000","ATLAS_Bot1","","","2019TNSTR.177....1T","2021TNSCR.298....1T","",""
"34053","AT 2019aef","06:10:45.839","-26:53:39.25","AGN","0.066","PGC 762553","","ASAS-SN, ZTF","ASAS-SN, ZTF","SCAT","ASAS-SN, ZTF","ASASSN-19bi","ASASSN-4 - Leavitt, ASASSN-5 - Payne-Gaposchkin, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18","g-Sloan","2019-01-21 05:02:24.000","Krzysztof Stanek","","","2019TNSTR.142....1S","2019TNSCR1243....1T","",""
"33471","AT 2019ju","14:32:09.006","+31:35:04.38","AGN","0.055101","","","ZTF","ZTF","ZTF","ZTF","ZTF18aailsee","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.32","g-ZTF","2019-01-04 12:10:41.000","ZTF_AMPEL_NEW","","","2019TNSTR..48....1N","2023TNSCR1462....1Y","",""
